Disease	Link	Source	MSHOld	MSH.Top	Gene	GeneScore	Rank	pval2	snp_id	pvalue	SNP.Trait.Cnt	snp.ld	r2	eqtl	rdb	Cat.rdb	eCat	AAEffect	AAScore	Gene.Trait.Cnt	OrphID	PPterm	Name	MSH	ensembl_id
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	HNF4A	7	1	8e-10	rs1800961	8e-10	1	rs1800961	1	no	no		0	missense_variant	0.329479202390868	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000101076
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	IDE	1	4	7e-12	rs1111875	7e-12	1	rs11187019	0.618	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000119912
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	IGF2BP2	3	1	9e-16	rs4402960	9e-16	1	rs4402960	1	no	no		9		1	4	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000073792
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	IREB2	5	2	6e-20	rs1051730	6e-20	1	rs55676755	0.976	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000136381
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	ITK	3	4	1e-11	rs1501908	1e-11	1	rs7717984	0.747	no	yes	2b	2b		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000113263
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	ITSN1	4	1	6e-11	rs9982601	6e-11	2	rs28451064	0.815	no	yes	2b	2b		1	3	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000205726
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	JAZF1	3	1	5e-14	rs864745	5e-14	1	rs864745	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000153814
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	KCNE1	4	2	6e-11	rs9982601	6e-11	2	rs28451064	0.815	no	yes	2b	2b		1	3	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000180509
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	KCNJ11	7	2	5e-11	rs5215	5e-11	1	rs5215	1	no	no		0	missense_variant	0.620792709813336	4	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000187486
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	KCNQ1	3	1	2e-42	rs2237892	2e-42	1	rs2237892	1	no	no		9		1	4	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000053918
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	KCTD10	5	2	1e-10	rs2338104	1e-10	1	rs2338104	1	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000110906
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	KIF11	1	5	7e-12	rs1111875	7e-12	1	rs11187090	0.579	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000138160
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	LCAT	1	23	8e-16	rs2271293	8e-16	1	rs1476306	0.659	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000213398
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	LDLR	3	1	2e-51	rs6511720	2e-51	1	rs6511720	1	no	no		9		1	4	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000130164
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	LIPC	3	1	2e-32	rs1800588	2e-32	1	rs1800588	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000166035
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	LMAN1L	2	4	1e-23	rs1378942	1e-23	1	rs11636952	0.763	no	no		9		1	4	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000140506
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	LPL	5	1	2e-34	rs12678919	2e-34	1	rs17482753	1	yes	no		2		1	8	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000175445
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	LRPPRC	5	4	1e-09	rs7578597	1e-09	1	rs7578597	1	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000138095
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	LZTS1	6	2	6e-18	rs2083637	6e-18	1	rs1919484	0.943	no	yes	1f	1f		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000061337
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	MAN2B2	4	1	1e-08	rs4689388	1e-08	1	rs1046320	0.819	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000013288
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	MARCH2	5	1	1e-08	rs2967605	1e-08	1	rs2967605	1	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000099785
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	MARCH5	1	3	7e-12	rs1111875	7e-12	1	rs2149632	0.577	no	yes	4	4		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000198060
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	MAU2	2	5	3e-09	rs16996148	3e-09	1	rs58847337	0.831	no	yes	4	4		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000129933
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	MED7	3	5	1e-11	rs1501908	1e-11	1	rs7717984	0.747	no	yes	2b	2b		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000155868
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	MIA3	3	1	1e-09	rs17465637	1e-09	2	rs17465637	1	no	no		9		1	3	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000154305
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	MMAB	5	3	1e-10	rs2338104	1e-10	1	rs2338104	1	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000139428
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	MPI	4	8	1e-23	rs1378942	1e-23	1	rs936226	0.618	yes	no	1b	1b		1	4	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000178802
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	MRAS	3	1	7e-13	rs9818870	7e-13	1	rs9818870	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000158186
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	MTHFR	3	1	2e-13	rs17367504	2e-13	1	rs17367504	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000177000
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	MVK	3	5	1e-10	rs2338104	1e-10	1	rs3782894	0.961	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000110921
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	MYBPC3	5	3	6e-11	rs7395662	6e-11	1	rs4882064	0.967	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000134571
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	MYO1H	3	6	1e-10	rs2338104	1e-10	1	rs7308864	0.915	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000174527
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	NCAN	5	2	3e-09	rs16996148	3e-09	1	rs2228603	0.574	no	no		0	missense_variant	0.34398118661506	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000130287
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	NFATC3	2	20	8e-16	rs2271293	8e-16	1	rs75450962	0.774	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000072736
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	NLRC5	6	1	9e-94	rs1532624	9e-94	1	rs1532625	0.992	no	yes	1f	1f		1	8	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000140853
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	NRN1L	7	1	8e-16	rs2271293	8e-16	1	rs73594554	0.983	no	no		0	missense_variant	0.0705012003331537	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000188038
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	NUCB2	5	1	5e-11	rs5215	5e-11	1	rs757081	0.552	no	no		0	missense_variant	0.327323502033217	4	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000070081
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	NUTF2	3	8	8e-16	rs2271293	8e-16	1	rs2271293	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000102898
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	NXF1	5	3	2e-12	rs174547	2e-12	1	rs174566	0.975	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000162231
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	OR13C3	3	2	1e-10	rs4149268	1e-10	1	rs72732702	0.54	no	yes	2b	2b		1	6	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000204246
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	OR4A47	7	2	6e-11	rs7395662	6e-11	1	rs7103557	1	no	no		0	missense_variant	0.716574396158934	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000237388
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	OR4B1	1	10	6e-11	rs7395662	6e-11	1	rs11039593	0.643	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000175619
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	OR4S1	1	9	6e-11	rs7395662	6e-11	1	rs1483123	0.684	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000176555
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	OR4X1	5	1	6e-11	rs7395662	6e-11	1	rs10838852	0.657	no	no		0	missense_variant	0.0572240458576257	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000176567
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PARD6A	5	3	8e-16	rs2271293	8e-16	1	rs12599880	0.758	no	yes	1f	1f		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000102981
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PBX4	3	7	3e-09	rs16996148	3e-09	1	rs73004933	0.909	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000105717
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PCIF1	3	3	4e-09	rs7679	4e-09	1	rs7679	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000100982
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PCSK9	7	1	2e-44	rs11591147	2e-44	1	rs11591147	1	no	no		0	missense_variant	0.671402675028171	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000169174
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PHOSPHO1	1	5	5e-09	rs16948048	5e-09	1	rs55978930	0.524	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000173868
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PLA2G15	1	26	8e-16	rs2271293	8e-16	1	rs12444188	0.578	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000103066
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PLCD3	3	3	1e-08	rs12946454	1e-08	1	rs12946454	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000161714
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PLEKHA7	3	1	2e-09	rs381815	2e-09	1	rs381815	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000166689
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PLEKHH2	6	3	1e-09	rs7578597	1e-09	1	rs7561287	0.978	no	yes	1f	1f		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000152527
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PLLP	5	1	3e-31	rs9989419	3e-31	1	rs9989419	1	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000102934
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PLTP	5	1	4e-09	rs7679	4e-09	1	rs7679	1	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000100979
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	POLK	2	3	1e-20	rs12654264	1e-20	1	rs5744672	0.83	no	no		9		1	8	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000122008
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PPCDC	3	12	1e-23	rs1378942	1e-23	1	rs1543927	0.58	no	yes	2a	2a		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000138621
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PPP2R2C	4	3	1e-08	rs4689388	1e-08	1	rs4688993	0.527	no	yes	1f	1f		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000074211
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PRMT7	5	4	8e-16	rs2271293	8e-16	1	rs12599880	0.758	no	yes	1f	1f		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000132600
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PSKH1	3	11	8e-16	rs2271293	8e-16	1	rs16942887	0.984	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000159792
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PSMB10	1	22	8e-16	rs2271293	8e-16	1	rs7187289	0.677	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000205220
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PTPN11	1	6	3e-18	rs653178	3e-18	1	rs11066301	0.628	no	no		9		1	4	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000179295
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	PTPRJ	2	5	6e-11	rs7395662	6e-11	1	rs7124275	0.804	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000149177
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	RAB11B	3	2	1e-08	rs2967605	1e-08	1	rs2967605	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000185236
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	RANBP10	3	9	8e-16	rs2271293	8e-16	1	rs55661503	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000141084
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	RLTPR	2	17	8e-16	rs2271293	8e-16	1	rs72556537	0.837	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000159753
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	RPP25	1	9	2e-10	rs6495122	2e-10	1	rs12912343	0.641	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000178718
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	SCAMP2	3	3	2e-10	rs6495122	2e-10	1	rs4480762	0.902	no	no		9		1	4	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000140497
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	SEMA7A	3	13	1e-23	rs1378942	1e-23	1	rs1543927	0.58	no	yes	2a	2a		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000138623
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	SH2B3	7	1	3e-18	rs653178	3e-18	1	rs3184504	0.947	no	no		0	missense_variant	0.702219391504581	4	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000111252
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	SIDT2	4	1	3e-11	rs6589566	3e-11	1	rs651821	0.85	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000149577
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	SLC12A4	2	18	8e-16	rs2271293	8e-16	1	rs2292318	0.83	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000124067
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	SLC12A5	3	2	4e-09	rs7679	4e-09	1	rs1057208	0.836	no	yes	3a	3a		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000124140
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	SLC30A8	7	1	2e-14	rs13266634	2e-14	1	rs13266634	1	no	no		0	missense_variant	0.547988829552692	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000164756
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	SLC39A13	3	8	6e-11	rs7395662	6e-11	1	rs11039701	0.672	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000165915
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	SLC7A6OS	5	5	8e-16	rs2271293	8e-16	1	rs12599880	0.758	no	yes	1f	1f		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000103061
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	SUGP1	2	9	3e-09	rs16996148	3e-09	1	rs10401969	0.762	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000105705
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	TCF7L2	3	1	1e-48	rs7901695	1e-48	1	rs7901695	1	no	no		9		1	6	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000148737
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	THADA	7	1	1e-09	rs7578597	1e-09	1	rs7578597	1	no	no		0	missense_variant	0.270099456175592	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000115970
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	THAP11	3	12	8e-16	rs2271293	8e-16	1	rs3809630	0.983	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000168286
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	TIMD4	3	6	1e-11	rs1501908	1e-11	1	rs6874202	0.974	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000145850
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	TM6SF2	5	1	3e-09	rs16996148	3e-09	1	rs58542926	0.738	no	no		0	missense_variant	0.226446523933173	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000213996
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	TOMM40	3	3	2e-19	rs157580	2e-19	1	rs157580	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000130204
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	TRAK1	2	1	3e-09	rs9815354	3e-09	1	rs809930	0.801	no	yes	4	4		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000182606
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	TSNAXIP1	3	14	8e-16	rs2271293	8e-16	1	rs113493894	0.95	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000102904
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	TTC39B	3	1	3e-10	rs471364	3e-10	1	rs471364	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000155158
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	UBE3B	3	4	1e-10	rs2338104	1e-10	1	rs1543896	0.992	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000151148
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	UBL7	3	14	1e-23	rs1378942	1e-23	1	rs1543927	0.58	no	yes	2a	2a		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000138629
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	ULK3	5	1	1e-23	rs1378942	1e-23	1	rs1378942	1	yes	no		2		1	4	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000140474
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	ULK4	3	2	3e-09	rs9815354	3e-09	1	rs9815354	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000168038
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	UPF2	3	3	1e-10	rs12779790	1e-10	1	rs34428576	0.704	no	yes	2a	2a		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000151461
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	WFS1	3	2	1e-08	rs4689388	1e-08	1	rs13107806	0.937	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000109501
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	YJEFN3	1	12	3e-09	rs16996148	3e-09	1	rs56397647	0.568	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000250067
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	ZFP36L2	1	6	1e-09	rs7578597	1e-09	1	rs9170	0.507	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000152518
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	ZNF101	1	13	3e-09	rs16996148	3e-09	1	rs58434384	0.543	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000181896
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	ZNF226	5	2	2e-19	rs157580	2e-19	1	rs157580	1	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000167380
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	ZNF335	3	4	4e-09	rs7679	4e-09	1	rs7679	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000198026
Coronary heart disease	PUBMEDID:21347282	GWAS:B	coronary disease	Cardiovascular Diseases	ZNF652	3	1	5e-09	rs16948048	5e-09	1	rs16948048	1	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000198740
Coronary heart disease	PUBMEDID:21378988	GWAS:A	coronary disease	Cardiovascular Diseases	CTSH	6	1	4e-09	rs4380028	4e-09	1	rs4380028	1	yes	no		2		1	5	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000103811
Coronary heart disease	PUBMEDID:21378988	GWAS:A	coronary disease	Cardiovascular Diseases	LIPA	6	1	3e-13	rs1412444	3e-13	1	rs1412444	1	yes	no		2		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000107798
Coronary heart disease	PUBMEDID:21378988	GWAS:A	coronary disease	Cardiovascular Diseases	MORF4L1	2	3	4e-09	rs4380028	4e-09	1	rs11632720	0.519	no	no		9		1	2	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000185787
Coronary heart disease	PUBMEDID:21378988	GWAS:A	coronary disease	Cardiovascular Diseases	PHACTR1	5	1	9e-26	rs9349379	9e-26	5	rs9349379	1	no	no		9		1	9	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000112137
Coronary heart disease	PUBMEDID:21378990	GWAS:A	coronary disease	Cardiovascular Diseases	ABI2	3	6	1e-09	rs6725887	1e-09	2	rs116426890	0.893	no	no		9		1	3	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000138443
Coronary heart disease	PUBMEDID:21378990	GWAS:A	coronary disease	Cardiovascular Diseases	ABO	4	1	4e-14	rs579459	4e-14	2	rs600038	0.978	no	no		9		1	5	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000175164
Coronary heart disease	PUBMEDID:21378990	GWAS:A	coronary disease	Cardiovascular Diseases	ACTR1A	4	3	1e-09	rs12413409	1e-09	2	rs3824754	0.909	no	yes	4	4		1	9	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000138107
Coronary heart disease	PUBMEDID:21378990	GWAS:A	coronary disease	Cardiovascular Diseases	ADAMTS7	8	1	1e-12	rs3825807	1e-12	2	rs3825807	1	no	no		0	missense_variant	0.732840135221204	5	NA	coronary disease	Coronary Disease	Coronary Disease	ENSG00000136378
